Date,Year,Region,Manufacturer,Powertrain,Sales
2015-01-25,2015,China,General Motors,BEV,17
2015-01-25,2015,China,Rivian,BEV,2
2015-01-25,2015,China,BYD,PHEV,105
2015-01-26,2015,Europe,Volkswagen,BEV,43
2015-01-27,2015,Europe,NIO,PHEV,4
2015-01-28,2015,Europe,Rivian,BEV,2
2015-01-28,2015,North America,BYD,BEV,19
2015-01-28,2015,North America,Rivian,BEV,4
2015-01-29,2015,Europe,Ford,PHEV,54
2015-01-29,2015,Europe,Rivian,BEV,3
2015-01-29,2015,North America,Rivian,BEV,1
2015-01-29,2015,China,Ford,BEV,13
2015-01-30,2015,China,NIO,BEV,12
2015-01-31,2015,China,Tesla,PHEV,44
2015-02-02,2015,North America,Rivian,BEV,4
2015-02-04,2015,Rest of World,Volkswagen,PHEV,6
2015-02-04,2015,North America,Others,BEV,46
2015-02-04,2015,China,Others,BEV,18
2015-02-04,2015,Europe,NIO,BEV,1
2015-02-05,2015,China,Volkswagen,BEV,26
2015-02-05,2015,North America,NIO,BEV,4
2015-02-05,2015,China,Volkswagen,BEV,17
2015-02-05,2015,Europe,Ford,BEV,48
2015-02-05,2015,Europe,General Motors,PHEV,57
2015-02-06,2015,China,Ford,PHEV,39
2015-02-06,2015,China,BYD,BEV,141
2015-02-07,2015,Europe,Others,BEV,45
2015-02-08,2015,China,General Motors,BEV,35
2015-02-08,2015,Europe,General Motors,BEV,86
2015-02-08,2015,Rest of World,Ford,BEV,46
2015-02-08,2015,China,NIO,BEV,49
2015-02-08,2015,China,General Motors,BEV,22
2015-02-09,2015,North America,Volkswagen,PHEV,66
2015-02-09,2015,China,NIO,BEV,13
2015-02-09,2015,North America,Others,BEV,42
2015-02-09,2015,North America,Hyundai,BEV,19
2015-02-09,2015,China,General Motors,BEV,5
2015-02-10,2015,Europe,Ford,PHEV,50
2015-02-10,2015,North America,Others,BEV,26
2015-02-10,2015,China,NIO,BEV,63
2015-02-10,2015,China,Volkswagen,BEV,38
2015-02-10,2015,China,BYD,PHEV,75
2015-02-11,2015,Europe,BYD,BEV,19
2015-02-12,2015,Rest of World,General Motors,BEV,13
2015-02-12,2015,Europe,Volkswagen,BEV,61
2015-02-12,2015,China,General Motors,PHEV,10
2015-02-12,2015,China,Rivian,BEV,4
2015-02-12,2015,Rest of World,Rivian,PHEV,4
2015-02-12,2015,North America,NIO,BEV,1
2015-02-13,2015,Europe,Hyundai,BEV,17
2015-02-14,2015,Europe,Others,BEV,10
2015-02-14,2015,China,NIO,BEV,33
2015-02-15,2015,Europe,Ford,BEV,14
2015-02-16,2015,China,General Motors,BEV,18
2015-02-16,2015,China,General Motors,PHEV,12
2015-02-17,2015,China,Volkswagen,BEV,11
2015-02-17,2015,China,BYD,PHEV,30
2015-02-18,2015,China,General Motors,BEV,19
2015-02-19,2015,China,Others,BEV,38
2015-02-19,2015,Europe,BYD,PHEV,39
2015-02-19,2015,China,General Motors,BEV,41
2015-02-20,2015,North America,Others,BEV,22
2015-02-20,2015,China,NIO,BEV,58
2015-02-20,2015,Europe,Ford,PHEV,18
2015-02-20,2015,China,NIO,BEV,37
2015-02-21,2015,Rest of World,General Motors,PHEV,27
2015-02-22,2015,North America,Hyundai,BEV,30
2015-02-22,2015,China,General Motors,BEV,9
2015-02-23,2015,North America,NIO,BEV,1
2015-02-23,2015,Europe,Ford,PHEV,52
2015-02-24,2015,Europe,Hyundai,PHEV,32
2015-02-24,2015,North America,Hyundai,BEV,6
2015-02-24,2015,North America,Ford,BEV,86
2015-02-25,2015,China,NIO,BEV,54
2015-02-25,2015,North America,Volkswagen,PHEV,14
2015-02-26,2015,Rest of World,Rivian,PHEV,1
2015-02-27,2015,China,Tesla,BEV,14
2015-02-27,2015,China,Ford,PHEV,33
2015-02-28,2015,China,Ford,BEV,48
2015-03-01,2015,China,BYD,BEV,120
2015-03-01,2015,China,Others,BEV,26
2015-03-02,2015,North America,NIO,BEV,2
2015-03-02,2015,North America,Ford,BEV,25
2015-03-02,2015,China,Rivian,BEV,1
2015-03-02,2015,China,Others,PHEV,8
2015-03-02,2015,China,Rivian,PHEV,1
2015-03-04,2015,North America,Tesla,BEV,122
2015-03-04,2015,North America,Others,BEV,13
2015-03-04,2015,Europe,General Motors,BEV,66
2015-03-05,2015,China,General Motors,PHEV,11
2015-03-05,2015,China,Volkswagen,PHEV,39
2015-03-06,2015,Europe,Rivian,BEV,4
2015-03-06,2015,Europe,NIO,PHEV,4
2015-03-06,2015,Europe,Rivian,PHEV,3
2015-03-08,2015,North America,Ford,BEV,64
2015-03-08,2015,Europe,NIO,PHEV,1
2015-03-08,2015,Europe,Hyundai,PHEV,46
2015-03-09,2015,Rest of World,Volkswagen,BEV,34
2015-03-09,2015,China,Tesla,PHEV,43
2015-03-09,2015,Europe,Ford,BEV,10
2015-03-09,2015,North America,NIO,BEV,1
2015-03-10,2015,China,Ford,BEV,34
2015-03-10,2015,China,Ford,BEV,26
2015-03-10,2015,North America,General Motors,BEV,34
2015-03-11,2015,North America,Rivian,BEV,2
2015-03-12,2015,China,Others,BEV,6
2015-03-13,2015,China,General Motors,BEV,14
2015-03-13,2015,China,Rivian,BEV,4
2015-03-13,2015,North America,Others,BEV,9
2015-03-13,2015,China,Rivian,PHEV,4
2015-03-14,2015,China,Others,BEV,31
2015-03-14,2015,North America,NIO,BEV,2
2015-03-14,2015,Europe,Hyundai,BEV,10
2015-03-14,2015,North America,Hyundai,BEV,40
2015-03-14,2015,Europe,Volkswagen,PHEV,68
2015-03-16,2015,China,General Motors,BEV,12
2015-03-16,2015,North America,Hyundai,BEV,12
2015-03-16,2015,China,Ford,PHEV,42
2015-03-17,2015,Europe,Tesla,BEV,57
2015-03-17,2015,China,Ford,PHEV,21
2015-03-17,2015,Europe,Others,BEV,34
2015-03-18,2015,China,Volkswagen,PHEV,25
2015-03-18,2015,China,NIO,BEV,70
2015-03-19,2015,Europe,Tesla,BEV,92
2015-03-19,2015,North America,Tesla,BEV,112
2015-03-19,2015,North America,Ford,BEV,77
2015-03-20,2015,North America,Volkswagen,BEV,63
2015-03-20,2015,China,Ford,BEV,23
2015-03-21,2015,Europe,BYD,BEV,20
2015-03-23,2015,Europe,Hyundai,PHEV,48
2015-03-23,2015,China,General Motors,BEV,42
2015-03-23,2015,North America,Volkswagen,PHEV,36
2015-03-24,2015,China,Volkswagen,PHEV,31
2015-03-24,2015,Europe,Tesla,PHEV,110
2015-03-24,2015,Europe,Volkswagen,BEV,88
2015-03-24,2015,China,Tesla,PHEV,23
2015-03-24,2015,Europe,Others,BEV,11
2015-03-25,2015,Europe,Others,PHEV,42
2015-03-25,2015,Europe,Hyundai,BEV,10
2015-03-26,2015,Europe,General Motors,BEV,75
2015-03-26,2015,China,BYD,BEV,69
2015-03-27,2015,North America,General Motors,BEV,21
2015-03-27,2015,Europe,Tesla,PHEV,60
2015-03-27,2015,China,NIO,BEV,43
2015-03-28,2015,North America,Rivian,PHEV,1
2015-03-28,2015,North America,Ford,BEV,72
2015-03-28,2015,China,BYD,BEV,102
2015-03-29,2015,Europe,Rivian,BEV,4
2015-03-31,2015,Europe,Ford,BEV,72
2015-03-31,2015,China,BYD,PHEV,93
2015-03-31,2015,China,Hyundai,BEV,19
2015-03-31,2015,Europe,General Motors,PHEV,48
2015-03-31,2015,China,General Motors,BEV,22
2015-03-31,2015,North America,NIO,BEV,1
2015-04-01,2015,Rest of World,General Motors,BEV,8
2015-04-01,2015,North America,Rivian,BEV,2
2015-04-02,2015,North America,Rivian,PHEV,2
2015-04-02,2015,Europe,Hyundai,BEV,26
2015-04-03,2015,China,Volkswagen,BEV,46
2015-04-03,2015,North America,NIO,PHEV,2
2015-04-03,2015,China,Hyundai,PHEV,31
2015-04-05,2015,North America,Hyundai,BEV,21
2015-04-05,2015,Rest of World,Volkswagen,BEV,43
2015-04-06,2015,North America,General Motors,BEV,14
2015-04-08,2015,China,Volkswagen,PHEV,10
2015-04-08,2015,Europe,Tesla,BEV,70
2015-04-09,2015,China,Rivian,BEV,1
2015-04-10,2015,China,Rivian,PHEV,1
2015-04-11,2015,North America,Ford,PHEV,30
2015-04-12,2015,Europe,Tesla,BEV,120
2015-04-12,2015,China,Volkswagen,PHEV,17
2015-04-13,2015,China,Tesla,BEV,31
2015-04-14,2015,China,Volkswagen,BEV,12
2015-04-14,2015,Rest of World,Hyundai,BEV,36
2015-04-14,2015,Europe,General Motors,BEV,36
2015-04-14,2015,North America,Volkswagen,BEV,82
2015-04-15,2015,China,Rivian,BEV,3
2015-04-15,2015,Europe,Ford,BEV,41
2015-04-15,2015,North America,Hyundai,BEV,39
2015-04-15,2015,Europe,Tesla,BEV,62
2015-04-16,2015,China,Tesla,BEV,26
2015-04-16,2015,Europe,BYD,BEV,20
2015-04-17,2015,Europe,Others,BEV,5
2015-04-18,2015,China,Tesla,PHEV,45
2015-04-19,2015,Rest of World,Others,BEV,46
2015-04-20,2015,Europe,General Motors,PHEV,50
2015-04-20,2015,China,BYD,BEV,108
2015-04-21,2015,North America,Hyundai,BEV,11
2015-04-21,2015,China,Volkswagen,PHEV,13
2015-04-21,2015,Europe,Rivian,BEV,3
2015-04-21,2015,Europe,NIO,BEV,3
2015-04-22,2015,China,NIO,PHEV,13
2015-04-23,2015,China,BYD,BEV,18
2015-04-23,2015,Europe,General Motors,BEV,18
2015-04-23,2015,China,Ford,BEV,21
2015-04-24,2015,China,Others,BEV,37
2015-04-25,2015,Europe,Ford,BEV,16
2015-04-25,2015,China,Volkswagen,PHEV,38
2015-04-26,2015,China,Tesla,BEV,21
2015-04-26,2015,China,Volkswagen,BEV,48
2015-04-26,2015,China,General Motors,BEV,35
2015-04-26,2015,Europe,Hyundai,BEV,24
2015-04-26,2015,Europe,NIO,BEV,4
2015-04-27,2015,China,General Motors,PHEV,49
2015-04-27,2015,Europe,Volkswagen,PHEV,19
2015-04-27,2015,Europe,BYD,PHEV,18
2015-04-27,2015,Europe,Others,BEV,21
2015-04-28,2015,North America,Rivian,BEV,4
2015-04-28,2015,North America,BYD,BEV,6
2015-04-28,2015,Europe,NIO,PHEV,2
2015-04-29,2015,North America,Volkswagen,BEV,9
2015-04-29,2015,North America,Hyundai,BEV,40
2015-04-30,2015,North America,Volkswagen,BEV,41
2015-05-01,2015,Europe,Volkswagen,BEV,21
2015-05-02,2015,Europe,Ford,BEV,21
2015-05-03,2015,North America,Volkswagen,BEV,70
2015-05-03,2015,Europe,NIO,BEV,2
2015-05-03,2015,Europe,Hyundai,BEV,42
2015-05-04,2015,North America,Ford,PHEV,82
2015-05-04,2015,China,Rivian,PHEV,3
2015-05-04,2015,North America,Tesla,BEV,25
2015-05-05,2015,China,NIO,PHEV,33
2015-05-05,2015,China,Ford,BEV,13
2015-05-06,2015,North America,Tesla,BEV,80
2015-05-06,2015,North America,Rivian,PHEV,3
2015-05-06,2015,North America,Tesla,PHEV,45
2015-05-06,2015,China,NIO,PHEV,28
2015-05-07,2015,Europe,Rivian,BEV,1
2015-05-07,2015,Europe,General Motors,BEV,86
2015-05-08,2015,North America,BYD,BEV,5
2015-05-08,2015,North America,Volkswagen,BEV,30
2015-05-08,2015,China,Tesla,BEV,21
2015-05-08,2015,China,Hyundai,PHEV,32
2015-05-09,2015,North America,Rivian,BEV,2
2015-05-09,2015,North America,NIO,BEV,1
2015-05-09,2015,Europe,Hyundai,BEV,29
2015-05-09,2015,Europe,NIO,PHEV,2
2015-05-10,2015,North America,Others,BEV,34
2015-05-10,2015,North America,Others,BEV,5
2015-05-10,2015,Rest of World,Others,BEV,37
2015-05-10,2015,Europe,Volkswagen,PHEV,75
2015-05-10,2015,Europe,BYD,PHEV,14
2015-05-10,2015,Europe,Volkswagen,PHEV,41
2015-05-10,2015,China,Volkswagen,BEV,13
2015-05-11,2015,Rest of World,BYD,PHEV,45
2015-05-11,2015,North America,NIO,BEV,1
2015-05-11,2015,China,NIO,BEV,30
2015-05-12,2015,North America,Volkswagen,BEV,12
2015-05-12,2015,China,BYD,PHEV,129
2015-05-14,2015,China,Rivian,BEV,4
2015-05-14,2015,Rest of World,BYD,BEV,25
2015-05-14,2015,China,Ford,PHEV,48
2015-05-15,2015,North America,Hyundai,BEV,45
2015-05-15,2015,Europe,Ford,BEV,9
2015-05-16,2015,China,BYD,BEV,24
2015-05-17,2015,Europe,Volkswagen,BEV,52
2015-05-17,2015,China,Ford,BEV,44
2015-05-17,2015,Europe,General Motors,BEV,37
2015-05-17,2015,Europe,General Motors,BEV,34
2015-05-17,2015,Rest of World,General Motors,BEV,46
2015-05-17,2015,China,Volkswagen,BEV,8
2015-05-17,2015,China,Ford,BEV,26
2015-05-18,2015,Europe,Ford,BEV,21
2015-05-18,2015,China,General Motors,PHEV,48
2015-05-19,2015,Europe,Tesla,BEV,95
2015-05-19,2015,North America,Others,BEV,6
2015-05-19,2015,Europe,General Motors,PHEV,12
2015-05-19,2015,Rest of World,General Motors,BEV,20
2015-05-20,2015,Europe,General Motors,BEV,81
2015-05-20,2015,North America,NIO,BEV,1
2015-05-21,2015,Europe,Tesla,BEV,45
2015-05-21,2015,China,Ford,BEV,23
2015-05-21,2015,China,Volkswagen,BEV,16
2015-05-21,2015,Europe,Ford,BEV,59
2015-05-22,2015,Europe,BYD,BEV,33
2015-05-22,2015,Europe,Tesla,PHEV,72
2015-05-23,2015,North America,Others,BEV,27
2015-05-23,2015,North America,Volkswagen,BEV,37
2015-05-23,2015,China,General Motors,BEV,18
2015-05-23,2015,North America,General Motors,BEV,14
2015-05-24,2015,North America,General Motors,BEV,45
2015-05-24,2015,Europe,NIO,BEV,1
2015-05-24,2015,Europe,NIO,BEV,1
2015-05-24,2015,China,Volkswagen,BEV,35
2015-05-24,2015,Europe,Ford,BEV,81
2015-05-25,2015,North America,BYD,BEV,18
2015-05-26,2015,China,Tesla,BEV,19
2015-05-26,2015,North America,NIO,BEV,4
2015-05-26,2015,Rest of World,BYD,PHEV,48
2015-05-26,2015,Europe,Rivian,BEV,4
2015-05-27,2015,China,BYD,BEV,138
2015-05-27,2015,China,Others,BEV,22
2015-05-27,2015,North America,Tesla,BEV,52
2015-05-28,2015,Europe,Others,BEV,25
2015-05-28,2015,Europe,Volkswagen,BEV,77
2015-05-28,2015,North America,General Motors,BEV,12
2015-05-28,2015,Europe,General Motors,BEV,46
2015-05-28,2015,China,General Motors,PHEV,15
2015-05-28,2015,China,NIO,BEV,69
2015-05-29,2015,Rest of World,Others,BEV,38
2015-05-29,2015,Europe,Volkswagen,BEV,39
2015-05-29,2015,North America,Hyundai,BEV,46
2015-05-29,2015,Europe,Rivian,PHEV,4
2015-05-31,2015,Europe,BYD,BEV,12
2015-06-01,2015,North America,General Motors,PHEV,14
2015-06-01,2015,North America,General Motors,BEV,25
2015-06-02,2015,Rest of World,Volkswagen,BEV,47
2015-06-02,2015,China,BYD,BEV,27
2015-06-03,2015,Europe,Ford,BEV,79
2015-06-03,2015,North America,Tesla,PHEV,95
2015-06-03,2015,China,General Motors,BEV,48
2015-06-03,2015,North America,General Motors,BEV,63
2015-06-03,2015,Europe,Tesla,BEV,75
2015-06-03,2015,China,NIO,BEV,37
2015-06-04,2015,Europe,Volkswagen,PHEV,72
2015-06-04,2015,North America,NIO,BEV,1
2015-06-04,2015,North America,General Motors,BEV,68
2015-06-05,2015,North America,Ford,PHEV,55
2015-06-05,2015,China,Hyundai,BEV,6
2015-06-05,2015,North America,Hyundai,BEV,45
2015-06-06,2015,China,Others,BEV,27
2015-06-06,2015,North America,Ford,PHEV,75
2015-06-08,2015,Europe,NIO,BEV,2
2015-06-08,2015,Europe,Tesla,BEV,112
2015-06-09,2015,China,Tesla,BEV,9
2015-06-09,2015,Europe,Rivian,BEV,2
2015-06-09,2015,North America,NIO,BEV,2
2015-06-10,2015,North America,Hyundai,BEV,16
2015-06-10,2015,North America,BYD,BEV,34
2015-06-10,2015,North America,Rivian,PHEV,1
2015-06-11,2015,Europe,Others,BEV,44
2015-06-11,2015,China,BYD,BEV,141
2015-06-11,2015,North America,BYD,BEV,16
2015-06-11,2015,China,Others,BEV,27
2015-06-12,2015,China,Volkswagen,BEV,47
2015-06-12,2015,Europe,Others,BEV,39
2015-06-12,2015,North America,Ford,BEV,21
2015-06-12,2015,Europe,Volkswagen,PHEV,75
2015-06-13,2015,North America,Rivian,BEV,2
2015-06-13,2015,China,Rivian,PHEV,1
2015-06-13,2015,Rest of World,Tesla,BEV,35
2015-06-14,2015,China,Others,BEV,45
2015-06-14,2015,Rest of World,NIO,BEV,1
2015-06-14,2015,China,Rivian,BEV,4
2015-06-15,2015,China,Tesla,PHEV,6
2015-06-15,2015,China,Others,BEV,35
2015-06-15,2015,Europe,Rivian,PHEV,2
2015-06-15,2015,China,General Motors,BEV,21
2015-06-15,2015,North America,General Motors,BEV,36
2015-06-16,2015,North America,BYD,BEV,18
2015-06-17,2015,North America,BYD,BEV,12
2015-06-17,2015,China,BYD,BEV,108
2015-06-19,2015,Europe,Ford,PHEV,59
2015-06-20,2015,North America,Others,BEV,40
2015-06-20,2015,North America,Rivian,BEV,2
2015-06-20,2015,Rest of World,Others,BEV,27
2015-06-20,2015,North America,Volkswagen,PHEV,54
2015-06-20,2015,Europe,Others,BEV,28
2015-06-21,2015,Europe,Hyundai,BEV,45
2015-06-21,2015,North America,Volkswagen,BEV,84
2015-06-21,2015,Europe,Tesla,BEV,122
2015-06-22,2015,Europe,General Motors,BEV,82
2015-06-22,2015,North America,General Motors,PHEV,19
2015-06-23,2015,China,NIO,BEV,21
2015-06-24,2015,Europe,Rivian,BEV,2
2015-06-24,2015,China,General Motors,BEV,33
2015-06-24,2015,China,Ford,BEV,16
2015-06-25,2015,Europe,NIO,BEV,3
2015-06-26,2015,China,Hyundai,PHEV,24
2015-06-26,2015,China,Rivian,BEV,2
2015-06-28,2015,China,Volkswagen,BEV,30
2015-06-28,2015,China,NIO,BEV,19
2015-06-28,2015,North America,Volkswagen,BEV,84
2015-06-28,2015,Europe,Rivian,BEV,1
2015-06-28,2015,China,Rivian,BEV,2
2015-06-29,2015,North America,Rivian,BEV,1
2015-06-30,2015,China,Volkswagen,BEV,48
2015-06-30,2015,North America,Others,BEV,18
2015-07-01,2015,North America,Tesla,PHEV,110
2015-07-02,2015,China,Rivian,BEV,4
2015-07-02,2015,China,BYD,BEV,57
2015-07-02,2015,North America,General Motors,PHEV,86
2015-07-02,2015,China,NIO,BEV,48
2015-07-02,2015,China,Hyundai,PHEV,5
2015-07-03,2015,North America,General Motors,BEV,79
2015-07-04,2015,China,Rivian,BEV,3
2015-07-04,2015,China,Volkswagen,BEV,32
2015-07-05,2015,China,NIO,BEV,72
2015-07-06,2015,China,General Motors,BEV,15
2015-07-06,2015,China,Hyundai,BEV,32
2015-07-06,2015,Europe,Others,BEV,30
2015-07-06,2015,Europe,Hyundai,BEV,35
2015-07-06,2015,Europe,Others,BEV,46
2015-07-06,2015,North America,Ford,BEV,16
2015-07-06,2015,China,Others,BEV,10
2015-07-07,2015,China,Others,BEV,35
2015-07-07,2015,Europe,BYD,BEV,16
2015-07-07,2015,North America,Hyundai,PHEV,37
2015-07-08,2015,China,BYD,BEV,108
2015-07-09,2015,China,BYD,BEV,33
2015-07-09,2015,China,BYD,BEV,78
2015-07-09,2015,China,Hyundai,BEV,14
2015-07-09,2015,Europe,Rivian,BEV,3
2015-07-09,2015,China,Tesla,PHEV,33
2015-07-10,2015,North America,Volkswagen,BEV,41
2015-07-10,2015,Europe,BYD,BEV,21
2015-07-10,2015,Rest of World,Volkswagen,BEV,43
2015-07-10,2015,Europe,Others,BEV,22
2015-07-10,2015,Rest of World,Rivian,PHEV,3
2015-07-11,2015,China,Others,BEV,23
2015-07-11,2015,North America,Others,BEV,8
2015-07-11,2015,North America,Ford,BEV,81
2015-07-11,2015,Europe,NIO,BEV,1
2015-07-11,2015,Europe,Volkswagen,BEV,23
2015-07-11,2015,North America,Others,PHEV,32
2015-07-12,2015,Europe,NIO,BEV,3
2015-07-12,2015,China,Others,BEV,44
2015-07-13,2015,North America,Others,BEV,38
2015-07-13,2015,North America,Hyundai,BEV,36
2015-07-13,2015,China,BYD,PHEV,96
2015-07-13,2015,China,Tesla,BEV,32
2015-07-14,2015,Europe,Rivian,PHEV,4
2015-07-14,2015,Europe,Ford,BEV,28
2015-07-14,2015,North America,Hyundai,BEV,24
2015-07-14,2015,China,BYD,BEV,75
2015-07-14,2015,North America,BYD,BEV,20
2015-07-15,2015,North America,BYD,BEV,22
2015-07-17,2015,Europe,Tesla,BEV,25
2015-07-17,2015,China,Hyundai,BEV,17
2015-07-17,2015,China,Others,BEV,43
2015-07-17,2015,Europe,General Motors,BEV,32
2015-07-17,2015,Europe,BYD,BEV,5
2015-07-17,2015,North America,Hyundai,PHEV,43
2015-07-18,2015,Europe,Volkswagen,BEV,75
2015-07-18,2015,North America,Volkswagen,PHEV,55
2015-07-20,2015,North America,Tesla,BEV,22
2015-07-20,2015,Europe,Volkswagen,BEV,82
2015-07-20,2015,North America,Tesla,PHEV,112
2015-07-21,2015,Europe,NIO,PHEV,3
2015-07-21,2015,China,Tesla,PHEV,39
2015-07-21,2015,China,NIO,BEV,30
2015-07-21,2015,China,Others,BEV,33
2015-07-22,2015,Europe,Ford,BEV,45
2015-07-22,2015,Europe,Tesla,BEV,47
2015-07-22,2015,China,Volkswagen,BEV,17
2015-07-23,2015,Europe,General Motors,BEV,48
2015-07-24,2015,North America,General Motors,PHEV,30
2015-07-24,2015,China,BYD,BEV,48
2015-07-24,2015,Europe,Volkswagen,PHEV,30
2015-07-25,2015,North America,Others,BEV,33
2015-07-25,2015,China,Hyundai,BEV,23
2015-07-26,2015,Rest of World,Hyundai,BEV,26
2015-07-26,2015,China,Rivian,PHEV,1
2015-07-27,2015,China,Rivian,PHEV,1
2015-07-27,2015,China,NIO,PHEV,70
2015-07-27,2015,Europe,Ford,BEV,59
2015-07-28,2015,China,Rivian,BEV,4
2015-07-29,2015,North America,Ford,BEV,79
2015-07-29,2015,North America,Ford,BEV,64
2015-07-30,2015,North America,General Motors,BEV,32
2015-07-31,2015,North America,Tesla,BEV,37
2015-08-01,2015,China,Tesla,BEV,27
2015-08-01,2015,North America,Tesla,BEV,120
2015-08-02,2015,North America,Ford,BEV,64
2015-08-02,2015,Europe,Tesla,BEV,42
2015-08-03,2015,Europe,Volkswagen,PHEV,81
2015-08-04,2015,North America,Hyundai,BEV,22
2015-08-04,2015,Europe,Ford,BEV,14
2015-08-04,2015,China,BYD,BEV,42
2015-08-04,2015,Europe,Others,BEV,23
2015-08-05,2015,China,NIO,PHEV,69
2015-08-05,2015,China,NIO,BEV,24
2015-08-05,2015,China,Others,BEV,18
2015-08-05,2015,Europe,General Motors,BEV,84
2015-08-07,2015,Europe,Ford,BEV,50
2015-08-08,2015,China,General Motors,PHEV,16
2015-08-08,2015,Europe,Hyundai,PHEV,25
2015-08-08,2015,China,Ford,BEV,12
2015-08-09,2015,North America,Rivian,BEV,1
2015-08-09,2015,Europe,Rivian,BEV,2
2015-08-09,2015,Europe,Volkswagen,PHEV,55
2015-08-11,2015,China,Rivian,BEV,1
2015-08-12,2015,Europe,Ford,PHEV,48
2015-08-12,2015,North America,Hyundai,BEV,15
2015-08-12,2015,China,Others,BEV,13
2015-08-13,2015,Europe,BYD,BEV,13
2015-08-13,2015,Europe,Rivian,BEV,1
2015-08-13,2015,North America,Volkswagen,BEV,66
2015-08-14,2015,China,Others,BEV,7
2015-08-14,2015,Europe,NIO,BEV,3
2015-08-14,2015,China,Volkswagen,BEV,45
2015-08-14,2015,North America,Rivian,BEV,1
2015-08-14,2015,Europe,Tesla,BEV,12
2015-08-15,2015,China,BYD,BEV,18
2015-08-15,2015,China,Rivian,BEV,4
2015-08-15,2015,Rest of World,BYD,PHEV,8
2015-08-15,2015,China,Hyundai,BEV,19
2015-08-15,2015,Rest of World,Ford,BEV,35
2015-08-16,2015,Europe,Ford,BEV,55
2015-08-16,2015,Europe,BYD,BEV,33
2015-08-17,2015,North America,Rivian,BEV,1
2015-08-17,2015,North America,Volkswagen,BEV,45
2015-08-18,2015,China,NIO,BEV,25
2015-08-20,2015,North America,Others,BEV,35
2015-08-20,2015,China,Rivian,PHEV,3
2015-08-21,2015,China,Others,PHEV,20
2015-08-21,2015,China,General Motors,BEV,41
2015-08-23,2015,China,Ford,PHEV,43
2015-08-23,2015,China,NIO,BEV,48
2015-08-23,2015,China,General Motors,PHEV,21
2015-08-23,2015,China,BYD,BEV,123
2015-08-24,2015,China,Others,BEV,34
2015-08-24,2015,Rest of World,Others,BEV,31
2015-08-24,2015,North America,Hyundai,PHEV,23
2015-08-25,2015,China,BYD,BEV,54
2015-08-25,2015,North America,Hyundai,BEV,29
2015-08-26,2015,China,Tesla,BEV,23
2015-08-26,2015,North America,NIO,BEV,4
2015-08-27,2015,North America,BYD,BEV,36
2015-08-27,2015,China,Ford,BEV,20
